name,slot_type,family,is_named,is_exotic,base_damage,rpm,base_mag_size,reload_time,optimal_range,hsd,sight,magazine,muzzle,underbarrel,talent_slot,core_1,core_2,core_3,minor_1,minor_2,minor_3
LVOA-C,main,M4,FALSE,FALSE,,,,,,60,type:sight-optics,type:mag-5.56,type:muzzle-5.56,type:underbarrel-long,type:rifle,Rifle Damage,Critical Hit Damage,N/A,,N/A,N/A
Surge,main,M4,TRUE,FALSE,,,,,,60,type:sight-optics,type:mag-5.56,type:muzzle-5.56,type:underbarrel-long,fixed:Perfect Spike,Rifle Damage,Critical Hit Damage,N/A,,N/A,N/A
Urban MDR,main,MDR,FALSE,FALSE,,,,,,60,type:sight-long,type:mag-7.62,type:muzzle-7.62,type:underbarrel-long,type:rifle,Rifle Damage,Critical Hit Damage,N/A,,N/A,N/A
Vindicator,main,MDR,FALSE,TRUE,,,,,,60,fixed:AR Scope,fixed:Simulation Magazine,fixed:Velocity Amplifier,fixed:Loop Grip,fixed:Ortiz Assault Interface,Rifle Damage,Critical Hit Damage,N/A,,N/A,N/A
Military MK17,main,Scar,FALSE,FALSE,,,,,,60,type:sight-long,type:mag-7.62,type:muzzle-7.62,type:underbarrel-long,type:rifle,Rifle Damage,Critical Hit Damage,N/A,,N/A,N/A
Police MK17,main,Scar,FALSE,FALSE,,,,,,60,type:sight-long,type:mag-7.62,type:muzzle-7.62,type:underbarrel-long,type:rifle,Rifle Damage,Critical Hit Damage,N/A,,N/A,N/A
Everlasting Gaze,main,Scar,TRUE,FALSE,,,,,,60,type:sight-long,type:mag-7.62,type:muzzle-7.62,type:underbarrel-long,fixed:Perfect Perpetuation,Rifle Damage,Critical Hit Damage,N/A,,N/A,N/A
SIG 716,main,SIG,FALSE,FALSE,,,,,,60,type:sight-long,type:mag-7.62,type:muzzle-7.62,type:underbarrel-long,type:rifle,Rifle Damage,Critical Hit Damage,N/A,,N/A,N/A
SIG 716 CQB,main,SIG,FALSE,FALSE,,,,,,60,type:sight-long,type:mag-7.62,N/A,type:underbarrel-short,type:rifle,Rifle Damage,Critical Hit Damage,N/A,,N/A,N/A
Artist's Tool,main,SIG,TRUE,FALSE,,,,,,60,type:sight-long,type:mag-7.62,N/A,type:underbarrel-short,fixed:Perfect Rifleman,Rifle Damage,Critical Hit Damage,N/A,,N/A,N/A
The Ravenous,main,SIG,FALSE,TRUE,,,,,,60,fixed:Predatory Optics,fixed:Gluttonous Magazines,fixed:Devouring Maw,fixed:Wolf's Claw,fixed:Geri and Freki,Rifle Damage,Critical Hit Damage,N/A,,N/A,N/A
USC .45 ACP,main,UMP,FALSE,FALSE,,,,,,60,type:sight-long,type:mag-45-acp,N/A,type:underbarrel-long,type:rifle,Rifle Damage,Critical Hit Damage,N/A,,N/A,N/A
Achilles,main,UMP,TRUE,FALSE,,,,,,61,type:sight-long,type:mag-45-acp,N/A,type:underbarrel-long,fixed:Perfect Soft Spot,Rifle Damage,Critical Hit Damage,N/A,,N/A,N/A
Resolute Mk47,main,MK47,FALSE,FALSE,,,,,,60,type:sight-long,type:mag-7.62,type:muzzle-7.62,type:underbarrel-long,type:rifle,Rifle Damage,Critical Hit Damage,N/A,,N/A,N/A
Harmony,main,MK47,TRUE,FALSE,,,,,,60,type:sight-long,type:mag-7.62,type:muzzle-7.62,type:underbarrel-long,fixed:Perfect In Sync,Rifle Damage,Critical Hit Damage,N/A,,N/A,N/A
1886,main,1886,FALSE,FALSE,,,,,,60,N/A,type:mag-tubular,N/A,N/A,type:rifle,Rifle Damage,Critical Hit Damage,N/A,,N/A,N/A
The Virginian,main,1886,TRUE,FALSE,,,,,,60,N/A,type:mag-tubular,N/A,N/A,fixed:Perfect Boomerang,Rifle Damage,Critical Hit Damage,N/A,,N/A,N/A
Diamondback,main,1886,FALSE,TRUE,,,,,,60,fixed:Diamondback Dot Sight,fixed:Diamondback Lever,fixed:Diamondback Ornamentation,fixed:Diamondback Grip,fixed:Agonizing Bite,Rifle Damage,Critical Hit Damage,N/A,,N/A,N/A
